REGION_DE_NAISSANCE,NIVEAU,SESSION,MENTION,MOYENNE ANNUELLE,RESULTAT,RESULTAT APP EVALUATION,Année BAC,Sexe,Série,Ets. de provenance,Académie de l'Ets. Prov.,Résidence,Centre d'Ec.,Nbre Fois au BAC,Mention,Groupe Résultat,Année de l'Extrait EC,Moy. nde,Moy. ère,Moy. S Term.,Moy. S Term..1,MATH,SCPH,FR,PHILO,AN,SVT,Tot. Pts au Grp.,Moyenne au Grp.,Moy. Gle,Moy. sur Mat.Fond.,Age en Décembre 2018,Score DAP,Rang DAP,Score L1,Rang L1
Sédhiou,1,Première Session,Assez-Bien,13.38,PASSE,1,2018,M,S1,LYCEE CHEIKH MOUHAMADOU MOUSTAPHA MBACKE,Académie de Diourbel,DIOURBEL,LYCEE TECHNIQUE AMADOU BAMBA,1,ABien,1,2000,13.21,12.5,12.16,14.41,13,11,15,11,8,9.0,324,12.0,12.0,12.0,18,313.0,14,113.38,15
 Dakar,1,Deuxième Session,,6.83,NON ADMIS,1,2018,M,S2,LYCEE ABDOULAYE SADJI,Académie de Rufisque,RUFISQUE,LYCEE MODERNE DE RUFISQUE,2,Pass,2,2004,11.5,11.16,12.05,9.82,10,9,8,7,4,6.0,209,8.04,11.5,13.18,22,136.79999999999998,311,6.83,247
 Tambacounda,1,Deuxième Session,,4.12,NON ADMIS,1,2018,M,S2,GROUPE  SCOLAIRE PRIVE LA REFERENCE TAMBACOUNDA,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,5,Pass,2,2012,0.0,0.0,0.0,0.0,13,11,8,6,9,2.0,213,8.19,11.42,12.65,25,155.54999999999998,277,4.12,314
,1,Première Session,Bien,14.48,PASSE,1,2018,M,S1,LYCEE EL HADJI IBRAHIMA DIOP DE YEUMBEUL,Académie de Pikine - Guédiawaye,PIKINE,LYCEE DE THIAROYE,1,Pass,1,2004,13.94,12.37,11.98,12.33,10,12,9,7,12,9.0,278,10.3,10.3,11.0,22,262.0,72,114.48,7
 Diourbel,1,Deuxième Session,,5.64,NON ADMIS,1,2018,M,S2,ECOLE PRIVEE SERIGNE SOHIBOU MBACKE,Académie de Diourbel,DIOURBEL,LYCEE D'ENSEIGNEMENT GENERAL DE DIOURBEL,2,Pass,1,2009,10.46,9.23,7.95,7.9,18,9,11,7,10,11.0,307,11.81,11.81,12.35,21,205.2,194,5.64,267
 Kaolack,1,Deuxième Session,,5.54,NON ADMIS,1,2018,M,S2,LYCEE DE WACK NGOUNA,Académie de Kaolack,WACK NGOUNA,LYCEE DE WACK NGOUNA,2,Pass,2,2009,10.04,10.98,13.44,12.69,9,10,8,6,5,10.0,246,9.46,10.5,11.12,20,133.95,319,5.54,273
 Tambacounda,1,Première Session,Passable,10.97,PASSE,1,2018,M,S1,LYCEE WAOUNDE NDIAYE,Académie de Tambacounda,BAKEL,LYCEE WAOUNDE NDIAYE,1,ABien,1,2008,13.98,14.53,12.71,12.37,11,13,12,5,17,8.0,318,11.78,12.0,12.0,19,307.0,17,110.97,64
 Ziguinchor,1,Deuxième Session,,5.57,NON ADMIS,1,2018,M,S2,COLLEGE SAINT CHARLES LWANGA,Académie de Ziguinchor,ZIGUINCHOR,COLLEGE SAINT CHARLES LWANGA,1,ABien,1,2000,12.17,12.84,11.77,13.12,17,14,12,6,6,9.0,312,12.0,12.0,13.12,18,267.0,59,5.57,271
 Dakar,1,Première Session,Passable,10.0,PASSE,1,2018,M,S1,LYCEE MODERNE DE RUFISQUE,Académie de Rufisque,RUFISQUE,LYCEE MODERNE DE RUFISQUE,1,Pass,2,1997,14.06,11.76,11.84,11.58,5,7,14,8,13,7.0,216,8.0,12.44,13.5,21,187.0,216,110.0,96
 Ziguinchor,1,Deuxième Session,Passable,10.96,PASSE,1,2018,M,S2,LYCEE DE KAFOUNTINE,Académie de Ziguinchor,KAFOUNTINE,LYCEE DE KAFOUNTINE,2,ABien,1,2010,12.86,12.0,12.84,12.72,14,15,14,11,9,7.0,312,12.0,12.0,11.88,20,224.2,159,10.96,117
